=== Dados dos Usuarios ===
Funcao;Nome;Email;ID
HeavyLifter;  Igor;  aaaaaaaaaa; 0
abc;  aa;  dsdsssd; 1
BigBrother;  opa;  opaopa; 2
abc;  abv;  abn; 3
aq;  aqw;  aqwe; 4
Script Guys;  jonas;  jonas@gmail.com; 5
Big Brothers;  15;  16; 6
Heavy Lifters;  12;  13; 7
Script Guys;  16;  13; 8
Big Brothers;  15;  12; 9
Heavy Lifters;  12;  13; 10
Script Guys;  13;  15; 11
Big Brothers;  15;  19; 12
Big Brothers;  15;  16; 13
Heavy Lifters;  12;  13; 14
Big Brothers;  12;  13; 15
Heavy Lifters;  14;  15; 16
